Unnamed: 0,Symbol,Company Name,Sector,Country,yf_ticker
382,PNB,Punjab National Bank,Financial Services,IND,PNB.NS
383,RRKABEL,R R Kabel Ltd.,Capital Goods,IND,RRKABEL.NS
384,RBLBANK,RBL Bank Ltd.,Financial Services,IND,RBLBANK.NS
385,RECLTD,REC Ltd.,Financial Services,IND,RECLTD.NS
386,RHIM,RHI MAGNESITA INDIA LTD.,Capital Goods,IND,RHIM.NS
387,RITES,RITES Ltd.,Construction,IND,RITES.NS
388,RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,IND,RADICO.NS
389,RVNL,Rail Vikas Nigam Ltd.,Construction,IND,RVNL.NS
390,RAILTEL,Railtel Corporation Of India Ltd.,Telecommunication,IND,RAILTEL.NS
391,RAINBOW,Rainbow Childrens Medicare Ltd.,Healthcare,IND,RAINBOW.NS
392,RKFORGE,Ramkrishna Forgings Ltd.,Automobile and Auto Components,IND,RKFORGE.NS
393,REDINGTON,Redington Ltd.,Services,IND,REDINGTON.NS
394,RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,IND,RELIANCE.NS
395,RPOWER,Reliance Power Ltd.,Power,IND,RPOWER.NS
396,SBFC,SBFC Finance Ltd.,Financial Services,IND,SBFC.NS
397,SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,IND,SBICARD.NS
398,SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,IND,SBILIFE.NS
399,SJVN,SJVN Ltd.,Power,IND,SJVN.NS
400,SRF,SRF Ltd.,Chemicals,IND,SRF.NS
401,SAGILITY,Sagility Ltd.,Information Technology,IND,SAGILITY.NS
402,SAILIFE,Sai Life Sciences Ltd.,Healthcare,IND,SAILIFE.NS
403,SAMMAANCAP,Sammaan Capital Ltd.,Financial Services,IND,SAMMAANCAP.NS
404,MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,IND,MOTHERSON.NS
405,SAPPHIRE,Sapphire Foods India Ltd.,Consumer Services,IND,SAPPHIRE.NS
406,SARDAEN,Sarda Energy and Minerals Ltd.,Metals & Mining,IND,SARDAEN.NS
407,SAREGAMA,Saregama India Ltd,Media Entertainment & Publication,IND,SAREGAMA.NS
408,SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components,IND,SCHAEFFLER.NS
409,SCHNEIDER,Schneider Electric Infrastructure Ltd.,Capital Goods,IND,SCHNEIDER.NS
410,SCI,Shipping Corporation of India Ltd.,Services,IND,SCI.NS
411,SHREECEM,Shree Cement Ltd.,Construction Materials,IND,SHREECEM.NS
412,SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,IND,SHRIRAMFIN.NS
413,SHYAMMETL,Shyam Metalics and Energy Ltd.,Capital Goods,IND,SHYAMMETL.NS
414,ENRIN,Siemens Energy India Ltd.,Capital Goods,IND,ENRIN.NS
415,SIEMENS,Siemens Ltd.,Capital Goods,IND,SIEMENS.NS
416,SIGNATURE,Signatureglobal (India) Ltd.,Realty,IND,SIGNATURE.NS
417,SOBHA,Sobha Ltd.,Realty,IND,SOBHA.NS
418,SOLARINDS,Solar Industries India Ltd.,Chemicals,IND,SOLARINDS.NS
419,SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,IND,SONACOMS.NS
420,SONATSOFTW,Sonata Software Ltd.,Information Technology,IND,SONATSOFTW.NS
421,STARHEALTH,Star Health and Allied Insurance Company Ltd.,Financial Services,IND,STARHEALTH.NS
422,SBIN,State Bank of India,Financial Services,IND,SBIN.NS
423,SAIL,Steel Authority of India Ltd.,Metals & Mining,IND,SAIL.NS
424,SUMICHEM,Sumitomo Chemical India Ltd.,Chemicals,IND,SUMICHEM.NS
425,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,IND,SUNPHARMA.NS
426,SUNTV,Sun TV Network Ltd.,Media Entertainment & Publication,IND,SUNTV.NS
427,SUNDARMFIN,Sundaram Finance Ltd.,Financial Services,IND,SUNDARMFIN.NS
428,SUPREMEIND,Supreme Industries Ltd.,Capital Goods,IND,SUPREMEIND.NS
429,SPLPETRO,Supreme Petrochem Ltd.,Chemicals,IND,SPLPETRO.NS
430,SUZLON,Suzlon Energy Ltd.,Capital Goods,IND,SUZLON.NS
431,SWANCORP,Swan Corp Ltd.,Chemicals,IND,SWANCORP.NS
432,SWIGGY,Swiggy Ltd.,Consumer Services,IND,SWIGGY.NS
433,SYNGENE,Syngene International Ltd.,Healthcare,IND,SYNGENE.NS
434,SYRMA,Syrma SGS Technology Ltd.,Capital Goods,IND,SYRMA.NS
435,TBOTEK,TBO Tek Ltd.,Consumer Services,IND,TBOTEK.NS
436,TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,IND,TVSMOTOR.NS
437,TATACAP,Tata Capital Ltd.,Financial Services,IND,TATACAP.NS
438,TATACHEM,Tata Chemicals Ltd.,Chemicals,IND,TATACHEM.NS
439,TATACOMM,Tata Communications Ltd.,Telecommunication,IND,TATACOMM.NS
440,TCS,Tata Consultancy Services Ltd.,Information Technology,IND,TCS.NS
441,TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,IND,TATACONSUM.NS
442,TATAELXSI,Tata Elxsi Ltd.,Information Technology,IND,TATAELXSI.NS
443,TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,IND,TATAINVEST.NS
444,TMCV,Tata Motors Ltd.,Capital Goods,IND,TMCV.NS
445,TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,IND,TMPV.NS
446,TATAPOWER,Tata Power Co. Ltd.,Power,IND,TATAPOWER.NS
447,TATASTEEL,Tata Steel Ltd.,Metals & Mining,IND,TATASTEEL.NS
